Date,Number of tweets
12/2/2022 9:00:00,297
12/2/2022 10:00:00,313
12/2/2022 11:00:00,347
12/2/2022 12:00:00,314
12/2/2022 13:00:00,250
12/2/2022 14:00:00,303
12/2/2022 15:00:00,335
12/2/2022 16:00:00,427
12/2/2022 17:00:00,506
12/2/2022 18:00:00,3704
12/2/2022 19:00:00,4110
12/2/2022 20:00:00,7928
12/2/2022 21:00:00,12131
12/2/2022 22:00:00,11316
12/2/2022 23:00:00,6834
12/3/2022 0:00:00,4934
12/3/2022 1:00:00,3458
12/3/2022 2:00:00,2403
12/3/2022 3:00:00,1817
12/3/2022 4:00:00,1741
12/3/2022 5:00:00,1878
12/3/2022 6:00:00,2686
12/3/2022 7:00:00,4638
12/3/2022 8:00:00,5695
12/3/2022 9:00:00,6582
12/3/2022 10:00:00,5854
12/3/2022 11:00:00,6700
12/3/2022 12:00:00,7669
12/3/2022 13:00:00,7398
12/3/2022 14:00:00,5985
12/3/2022 15:00:00,5658
12/3/2022 16:00:00,5264
12/3/2022 17:00:00,5127
12/3/2022 18:00:00,4898
12/3/2022 19:00:00,4248
12/3/2022 20:00:00,4441
12/3/2022 21:00:00,3595
12/3/2022 22:00:00,3065
12/3/2022 23:00:00,2564
12/4/2022 0:00:00,1888
12/4/2022 1:00:00,1375
12/4/2022 2:00:00,1029
12/4/2022 3:00:00,887
12/4/2022 4:00:00,789
12/4/2022 5:00:00,933
12/4/2022 6:00:00,1229
12/4/2022 7:00:00,1603
12/4/2022 8:00:00,2905
12/4/2022 9:00:00,3571
12/4/2022 10:00:00,3008
12/4/2022 11:00:00,2836
12/4/2022 12:00:00,2932
12/4/2022 13:00:00,2395
12/4/2022 14:00:00,2949
12/4/2022 15:00:00,2528
12/4/2022 16:00:00,2279
12/4/2022 17:00:00,2157
12/4/2022 18:00:00,1934
12/4/2022 19:00:00,1775
12/4/2022 20:00:00,1661
12/4/2022 21:00:00,1689
12/4/2022 22:00:00,1359
12/4/2022 23:00:00,1941
12/5/2022 0:00:00,1346
12/5/2022 1:00:00,1152
12/5/2022 2:00:00,909
12/5/2022 3:00:00,823
12/5/2022 4:00:00,781
12/5/2022 5:00:00,971
12/5/2022 6:00:00,1179
12/5/2022 7:00:00,1853
12/5/2022 8:00:00,1941
12/5/2022 9:00:00,1989
12/5/2022 10:00:00,2351
12/5/2022 11:00:00,2266
12/5/2022 12:00:00,2521
12/5/2022 13:00:00,2405
12/5/2022 14:00:00,2253
12/5/2022 15:00:00,2135
12/5/2022 16:00:00,2310
12/5/2022 17:00:00,2163
12/5/2022 18:00:00,1883
12/5/2022 19:00:00,1769
12/5/2022 20:00:00,1663
12/5/2022 21:00:00,1817
12/5/2022 22:00:00,1786
12/5/2022 23:00:00,1206
12/6/2022 0:00:00,791
12/6/2022 1:00:00,644
12/6/2022 2:00:00,451
12/6/2022 3:00:00,416
12/6/2022 4:00:00,520
12/6/2022 5:00:00,593
12/6/2022 6:00:00,769
12/6/2022 7:00:00,1906
12/6/2022 8:00:00,2477
12/6/2022 9:00:00,2459
12/6/2022 10:00:00,2096
12/6/2022 11:00:00,1705
12/6/2022 12:00:00,1559
12/6/2022 13:00:00,1103
12/6/2022 14:00:00,1106
12/6/2022 15:00:00,1071
12/6/2022 16:00:00,1432
12/6/2022 17:00:00,1941
12/6/2022 18:00:00,3887
12/6/2022 19:00:00,6351
12/6/2022 20:00:00,4437
12/6/2022 21:00:00,3308
12/6/2022 22:00:00,2674
12/6/2022 23:00:00,1976
