Date,Number of tweets
12/2/2022 9:00:00,419
12/2/2022 10:00:00,436
12/2/2022 11:00:00,453
12/2/2022 12:00:00,427
12/2/2022 13:00:00,333
12/2/2022 14:00:00,374
12/2/2022 15:00:00,567
12/2/2022 16:00:00,2679
12/2/2022 17:00:00,6607
12/2/2022 18:00:00,10996
12/2/2022 19:00:00,35673
12/2/2022 20:00:00,31227
12/2/2022 21:00:00,33853
12/2/2022 22:00:00,28376
12/2/2022 23:00:00,23709
12/3/2022 0:00:00,17120
12/3/2022 1:00:00,12294
12/3/2022 2:00:00,9594
12/3/2022 3:00:00,8695
12/3/2022 4:00:00,7746
12/3/2022 5:00:00,8365
12/3/2022 6:00:00,10974
12/3/2022 7:00:00,15080
12/3/2022 8:00:00,22248
12/3/2022 9:00:00,24806
12/3/2022 10:00:00,27022
12/3/2022 11:00:00,24864
12/3/2022 12:00:00,22837
12/3/2022 13:00:00,22977
12/3/2022 14:00:00,20382
12/3/2022 15:00:00,18431
12/3/2022 16:00:00,18393
12/3/2022 17:00:00,16377
12/3/2022 18:00:00,14946
12/3/2022 19:00:00,13050
12/3/2022 20:00:00,12051
12/3/2022 21:00:00,11074
12/3/2022 22:00:00,10814
12/3/2022 23:00:00,8632
12/4/2022 0:00:00,6355
12/4/2022 1:00:00,4933
12/4/2022 2:00:00,4327
12/4/2022 3:00:00,3694
12/4/2022 4:00:00,3249
12/4/2022 5:00:00,3610
12/4/2022 6:00:00,4566
12/4/2022 7:00:00,6130
12/4/2022 8:00:00,8119
12/4/2022 9:00:00,12321
12/4/2022 10:00:00,11670
12/4/2022 11:00:00,10923
12/4/2022 12:00:00,11626
12/4/2022 13:00:00,11692
12/4/2022 14:00:00,10878
12/4/2022 15:00:00,9957
12/4/2022 16:00:00,10238
12/4/2022 17:00:00,10424
12/4/2022 18:00:00,9586
12/4/2022 19:00:00,8729
12/4/2022 20:00:00,8005
12/4/2022 21:00:00,9881
12/4/2022 22:00:00,8690
12/4/2022 23:00:00,7079
12/5/2022 0:00:00,4948
12/5/2022 1:00:00,3513
12/5/2022 2:00:00,2759
12/5/2022 3:00:00,2442
12/5/2022 4:00:00,2262
12/5/2022 5:00:00,2809
12/5/2022 6:00:00,4122
12/5/2022 7:00:00,6083
12/5/2022 8:00:00,8162
12/5/2022 9:00:00,8885
12/5/2022 10:00:00,10641
12/5/2022 11:00:00,9777
12/5/2022 12:00:00,8720
12/5/2022 13:00:00,7134
12/5/2022 14:00:00,6684
12/5/2022 15:00:00,5751
12/5/2022 16:00:00,5923
12/5/2022 17:00:00,6223
12/5/2022 18:00:00,5346
12/5/2022 19:00:00,5520
12/5/2022 20:00:00,5460
12/5/2022 21:00:00,5968
12/5/2022 22:00:00,6553
12/5/2022 23:00:00,5107
12/6/2022 0:00:00,3840
12/6/2022 1:00:00,2824
12/6/2022 2:00:00,1999
12/6/2022 3:00:00,1816
12/6/2022 4:00:00,1867
12/6/2022 5:00:00,2204
12/6/2022 6:00:00,2983
12/6/2022 7:00:00,4070
12/6/2022 8:00:00,6306
12/6/2022 9:00:00,8213
12/6/2022 10:00:00,7385
12/6/2022 11:00:00,6189
12/6/2022 12:00:00,5311
12/6/2022 13:00:00,4600
12/6/2022 14:00:00,4014
12/6/2022 15:00:00,4259
12/6/2022 16:00:00,6256
12/6/2022 17:00:00,7231
12/6/2022 18:00:00,6672
12/6/2022 19:00:00,6397
12/6/2022 20:00:00,5088
12/6/2022 21:00:00,4685
12/6/2022 22:00:00,4282
12/6/2022 23:00:00,2713
