Date,Number of tweets
11/20/2022 11:00:00,250
11/20/2022 12:00:00,1053
11/20/2022 13:00:00,949
11/20/2022 14:00:00,879
11/20/2022 15:00:00,711
11/20/2022 16:00:00,602
11/20/2022 17:00:00,689
11/20/2022 18:00:00,595
11/20/2022 19:00:00,884
11/20/2022 20:00:00,705
11/20/2022 21:00:00,625
11/20/2022 22:00:00,473
11/20/2022 23:00:00,403
11/21/2022 0:00:00,363
11/21/2022 1:00:00,270
11/21/2022 2:00:00,189
11/21/2022 3:00:00,138
11/21/2022 4:00:00,133
11/21/2022 5:00:00,123
11/21/2022 6:00:00,102
11/21/2022 7:00:00,182
11/21/2022 8:00:00,379
11/21/2022 9:00:00,1196
11/21/2022 10:00:00,3622
11/21/2022 11:00:00,5354
11/21/2022 12:00:00,6442
11/21/2022 13:00:00,9408
11/21/2022 14:00:00,12265
11/21/2022 15:00:00,10426
11/21/2022 16:00:00,9098
11/21/2022 17:00:00,8345
11/21/2022 18:00:00,10294
11/21/2022 19:00:00,9967
11/21/2022 20:00:00,9985
11/21/2022 21:00:00,10072
11/21/2022 22:00:00,9201
11/21/2022 23:00:00,8058
11/22/2022 0:00:00,6121
11/22/2022 1:00:00,4557
11/22/2022 2:00:00,3116
11/22/2022 3:00:00,2164
11/22/2022 4:00:00,1846
11/22/2022 5:00:00,1744
11/22/2022 6:00:00,2945
11/22/2022 7:00:00,3979
11/22/2022 8:00:00,5307
11/22/2022 9:00:00,6382
11/22/2022 10:00:00,5659
11/22/2022 11:00:00,5944
11/22/2022 12:00:00,6172
11/22/2022 13:00:00,5673
11/22/2022 14:00:00,5120
11/22/2022 15:00:00,4809
11/22/2022 16:00:00,4376
11/22/2022 17:00:00,4580
11/22/2022 18:00:00,4278
11/22/2022 19:00:00,3950
11/22/2022 20:00:00,4463
11/22/2022 21:00:00,3545
11/22/2022 22:00:00,3340
11/22/2022 23:00:00,2593
11/23/2022 0:00:00,3017
11/23/2022 1:00:00,1893
11/23/2022 2:00:00,1365
11/23/2022 3:00:00,1005
11/23/2022 4:00:00,849
11/23/2022 5:00:00,877
11/23/2022 6:00:00,1056
11/23/2022 7:00:00,1323
11/23/2022 8:00:00,1705
11/23/2022 9:00:00,1963
11/23/2022 10:00:00,2709
11/23/2022 11:00:00,3393
11/23/2022 12:00:00,3249
11/23/2022 13:00:00,2295
11/23/2022 14:00:00,2428
11/23/2022 15:00:00,2284
11/23/2022 16:00:00,1951
11/23/2022 17:00:00,1679
11/23/2022 18:00:00,1771
11/23/2022 19:00:00,1636
11/23/2022 20:00:00,1509
11/23/2022 21:00:00,1330
11/23/2022 22:00:00,1415
11/23/2022 23:00:00,1836
11/24/2022 0:00:00,2591
11/24/2022 1:00:00,3206
11/24/2022 2:00:00,1770
11/24/2022 3:00:00,1180
11/24/2022 4:00:00,855
11/24/2022 5:00:00,907
11/24/2022 6:00:00,978
11/24/2022 7:00:00,1186
11/24/2022 8:00:00,1688
11/24/2022 9:00:00,2048
11/24/2022 10:00:00,2445
11/24/2022 11:00:00,2538
11/24/2022 12:00:00,2388
11/24/2022 13:00:00,1906
11/24/2022 14:00:00,1694
11/24/2022 15:00:00,1532
11/24/2022 16:00:00,1287
11/24/2022 17:00:00,1722
11/24/2022 18:00:00,1918
11/24/2022 19:00:00,2744
11/24/2022 20:00:00,2583
11/24/2022 21:00:00,2394
11/24/2022 22:00:00,2199
11/24/2022 23:00:00,2037
11/25/2022 0:00:00,1911
11/25/2022 1:00:00,1248
11/25/2022 2:00:00,930
11/25/2022 3:00:00,761
11/25/2022 4:00:00,611
11/25/2022 5:00:00,633
11/25/2022 6:00:00,651
11/25/2022 7:00:00,792
11/25/2022 8:00:00,1242
11/25/2022 9:00:00,1592
11/25/2022 10:00:00,1947
11/25/2022 11:00:00,1792
11/25/2022 12:00:00,2212
11/25/2022 13:00:00,1984
11/25/2022 14:00:00,1740
11/25/2022 15:00:00,1460
11/25/2022 16:00:00,1644
11/25/2022 17:00:00,1639
11/25/2022 18:00:00,1785
11/25/2022 19:00:00,2193
11/25/2022 20:00:00,1868
11/25/2022 21:00:00,1473
11/25/2022 22:00:00,1648
11/25/2022 23:00:00,1091
11/26/2022 0:00:00,889
11/26/2022 1:00:00,775
11/26/2022 2:00:00,550
11/26/2022 3:00:00,509
11/26/2022 4:00:00,348
11/26/2022 5:00:00,445
11/26/2022 6:00:00,401
11/26/2022 7:00:00,537
11/26/2022 8:00:00,777
11/26/2022 9:00:00,970
11/26/2022 10:00:00,997
11/26/2022 11:00:00,940
11/26/2022 12:00:00,896
11/26/2022 13:00:00,847
11/26/2022 14:00:00,714
11/26/2022 15:00:00,863
11/26/2022 16:00:00,671
11/26/2022 17:00:00,632
11/26/2022 18:00:00,638
11/26/2022 19:00:00,567
11/26/2022 20:00:00,470
11/26/2022 21:00:00,478
11/26/2022 22:00:00,652
11/26/2022 23:00:00,388
11/27/2022 0:00:00,311
11/27/2022 1:00:00,281
11/27/2022 2:00:00,210
11/27/2022 3:00:00,158
11/27/2022 4:00:00,124
11/27/2022 5:00:00,106
11/27/2022 6:00:00,130
11/27/2022 7:00:00,194
11/27/2022 8:00:00,222
11/27/2022 9:00:00,356
11/27/2022 10:00:00,559
